zoneId;Attractivity:Business;Attractivity:Leisure_Indoor;Attractivity:Leisure_Outdoor;Attractivity:Private_Business;Attractivity:Private_Visit;Attractivity:Service;Attractivity:Shopping_Daily;Attractivity:Shopping_Other;Attractivity:Shopping;Attractivity:Work;Attractivity:Education_Primary;Attractivity:Education_Secondary;Attractivity:Education_Tertiary;Attractivity:Sightseeing
2268;64,77;256,68;425,8;18,1;343;475,02;0;0;0;64,77;0;0;0;0
2269;274,41;51,3;29,43;8,55;1202;140,54;0;0;0;274,41;0;0;0;0
2270;793,27;549,72;3099,95;302,28;974;494,67;466,8;303,2;770;793,27;0;0;0;0
2271;410,77;70,2;1026,89;981,7;2037;385,57;2395,2;0;2395,2;410,77;217;0;0;0
2272;555,18;0;0;0;42;0,8;0;0;0;555,18;0;0;0;0
2273;16,47;0;0;0;62;1,18;0;0;0;16,47;0;0;0;0
2274;1323,8;130,77;330,9;0;1043;159,82;0;470,7;470,7;1323,8;0;0;0;0
2275;84,44;0;0;0;281;5,34;0;853,2;853,2;84,44;0;0;0;0
2276;21,95;0;4,96;0;233;24,25;0;0;0;21,95;0;0;0;0
2277;32,2;75,43;7,52;0;281;175,4;0;392,41;392,41;32,2;0;0;0;0
2278;32,94;112,05;0;0;164;3,12;0;0;0;32,94;0;0;0;0
2279;247,05;156,24;492,36;0;893;131,97;0;237,6;237,6;247,05;0;0;0;0
2280;15,45;115,2;30,36;0;402;129,08;0;338,85;338,85;15,45;0;0;0;0
2281;5534,84;4832,05;17258,11;1972,43;11069;4099,75;15330,29;23759,02;39089,31;5534,84;362;1394;0;0
2282;143,34;0;0;0;321;146,1;150;0;150;143,34;0;0;0;0
2283;88,79;0;0;372;448;8,51;0;0;0;88,79;0;0;0;0
2284;91,23;0;0;0;146;2,77;0;0;0;91,23;0;0;0;0
2285;463,42;2409,96;1481,29;471,3;1508;918,45;150;4601,8;4751,8;463,42;154;0;0;0
2286;68,3;0;166,2;0;735;249,94;0;0;0;68,3;0;0;0;0
2287;82,93;295,95;244,62;30,65;587;173,89;150;0;150;82,93;0;0;0;0
2288;160,44;121,32;237,98;142,1;1128;542,44;152,25;0;152,25;160,44;169;0;0;0
2289;11,32;0;4,39;0;78;19,04;0;0;0;11,32;0;0;0;0
2290;33,01;62,87;33,1;0;197;3,74;0;0;0;33,01;0;0;0;0
2291;579,83;233,55;1100,01;420,25;1950;367,85;643,2;2878,09;3521,29;579,83;98;0;0;0
2292;140,98;124,68;228,51;15,1;872;16,57;0;1075,36;1075,36;140,98;0;0;0;0
2293;2237,52;1270,22;4170,84;1066,95;6145;1310,18;8153,1;13375,16;21528,26;2237,52;302;419;0;0
2294;88,02;62,87;80,01;0;402;7,64;150;1193,12;1343,12;88,02;0;0;0;0
2295;2643,15;665,01;2492,83;1052,75;5709;1471,77;6109;19975,67;26084,67;2643,15;190;462;0;0
2296;12,35;124,8;221,25;0;271;33,75;0;244;244;12,35;0;0;0;0
2297;26264,07;8547,6;41364,31;8811,25;32329;9519,72;58459,55;93443,74;151903,29;26264,07;1257;7682;0;0
2298;158,55;122,61;162,61;0;442;183,4;0;0;0;158,55;0;0;0;0
2299;15,44;0;0;0;75;1,42;0;0;0;15,44;0;0;0;0
2300;2361,61;1898,71;9263,54;1514,18;8142;1918,59;10785,32;22982,21;33767,53;2361,61;309;691;0;0
2301;512,41;304,62;733,7;217,6;2172;775,81;912;0;912;512,41;92;0;0;0
2302;29,64;112,05;442,5;0;560;341,84;0;0;0;29,64;0;0;0;0
2303;5,15;0;0;0;33;0,63;0;0;0;5,15;0;0;0;0
2304;46,33;0;0;0;227;4,31;0;2116,8;2116,8;46,33;0;0;0;0
2305;714,4;664,53;3228,21;499;2362;778,36;4369,33;701,05;5070,38;714,4;0;210;0;0
2306;503,75;293,1;2075,63;939,05;2348;598,61;2320,8;258,4;2579,2;503,75;98;0;0;0
2307;10,73;0;215;0;563;10,7;0;67,4;67,4;10,73;0;0;0;0
2308;35;0;0;0;180;3,42;0;0;0;35;0;0;0;0
2309;14,41;221,82;174,02;13,85;92;1,75;0;0;0;14,41;0;0;0;0
2310;25,74;0;31,38;0;113;2,15;0;0;0;25,74;0;0;0;0
2311;845,07;207,12;2536,52;536,4;2662;801,31;1832,4;97,6;1930;845,07;83;0;0;0
2312;17,5;0;0;0;110;2,09;0;361,8;361,8;17,5;0;0;0;0
2313;45,3;0;0;0;268;5,09;0;0;0;45,3;0;0;0;0
2314;52,28;60;2,84;0;139;14,02;0;0;0;52,28;0;0;0;0
2315;45,71;0;16,66;0;741;80,72;0;0;0;45,71;0;0;0;0
2316;51,5;0;0;0;396;7,52;0;0;0;51,5;0;0;0;0
2317;78,24;37,8;645,15;6,3;421;198,16;0;0;0;78,24;0;0;0;0
2318;26,77;130,56;0;0;109;2,07;0;0;0;26,77;0;0;0;0
2319;14,41;0;0;0;81;1,54;0;0;0;14,41;0;0;0;0
2320;48,25;0;30,16;0;292;126,21;0;268,65;268,65;48,25;0;0;0;0
2321;201,5;289,38;2372,1;206,15;1882;503,56;300;665,51;965,51;201,5;102;0;0;0
2322;38,52;353,88;150,52;13,5;711;13,51;0;88;88;38,52;0;0;0;0
2323;214,11;197,58;514,91;263,05;839;235,3;300;484,8;784,8;214,11;0;0;0;0
2324;22,65;0;0;0;125;2,38;0;0;0;22,65;0;0;0;0
2325;57,67;0;147,1;10;861;16,36;0;95,2;95,2;57,67;0;0;0;0
2326;19,56;0;45,3;0;255;4,84;0;0;0;19,56;0;0;0;0
2327;94,27;415,95;104,54;214,45;1544;420,45;0;280,8;280,8;94,27;87;0;0;0
2328;16,59;112,05;3,94;0;170;18,97;0;0;0;16,59;0;0;0;0
2329;21,62;0;0;0;117;2,22;0;0;0;21,62;0;0;0;0
2330;86,62;34,8;1114,23;5,8;1090;516,15;150;0;150;86,62;0;0;0;0
2331;78,21;765,07;656,92;0;738;720,39;0;1207,45;1207,45;78,21;0;0;0;0
2332;51,47;0;252,67;0;258;131,58;0;0;0;51,47;0;0;0;0
2333;52,5;0;0;0;269;5,11;0;0;0;52,5;0;0;0;0
2334;46,83;112,05;0;0;395;7,5;0;0;0;46,83;0;0;0;0
2335;16,47;0;0;0;580;11,02;0;0;0;16,47;0;0;0;0
2336;114,84;0;182,8;0;435;8,26;0;0;0;114,84;0;0;0;0
2337;18,53;0;0;0;91;1,73;0;0;0;18,53;0;0;0;0
2338;63,4;75,43;398,66;0;732;194,45;0;0;0;63,4;0;0;0;0
2339;120,76;0;739,78;0;573;161,31;0;3261,6;3261,6;120,76;74;0;0;0
2340;23,95;112,05;0;0;365;6,94;0;0;0;23,95;0;0;0;0
2341;105,09;150,3;627,78;25,05;820;258,28;0;0;0;105,09;138;0;0;0
2342;282,94;0;41,7;0;471;8,95;0;479,63;479,63;282,94;0;0;0;0
2343;1479,47;767,55;3721,11;1153,7;2521;418,36;6249,3;4762,78;11012,08;1479,47;0;455;0;0
2344;61,44;0;0;0;66;1,25;0;0;0;61,44;0;0;0;0
2345;9,27;0;4,76;0;241;23,62;0;0;0;9,27;0;0;0;0
2346;22,65;0;9,26;0;151;39,89;0;0;0;22,65;0;0;0;0
2347;115,45;0;95,7;0;747;14,19;150;104;254;115,45;0;0;0;0
2348;26,77;0;0;0;118;2,24;0;0;0;26,77;0;0;0;0
2349;16,47;0;382,8;0;107;2,03;0;0;0;16,47;0;0;0;0
2350;207,54;129,6;653;41,6;744;154,14;0;0;0;207,54;0;0;0;0
2351;191,79;0;915,64;0;1198;3493,72;0;0;0;191,79;0;0;0;0
2352;21,62;0;0;0;133;2,53;0;0;0;21,62;0;0;0;0
2353;559,36;340,89;3568,51;964,45;1918;702,21;3736,59;1440,91;5177,5;559,36;171;0;0;0
2354;54,56;0;0;0;301;5,72;0;0;0;54,56;0;0;0;0
2355;83,39;0;47,3;0;403;7,66;0;0;0;83,39;0;0;0;0
2356;293,22;323,82;713,95;63,3;1305;470,44;382,8;345,9;728,7;293,22;0;0;0;0
2357;3,09;0;0;0;11;0,21;0;0;0;3,09;0;0;0;0
2358;29,85;174,92;0;0;178;3,38;0;0;0;29,85;0;0;0;0
2359;1439,76;1111,91;4156,11;1551,2;4308;1814,11;6905,8;9256,93;16162,73;1439,76;206;413;0;0
2360;57,65;0;144,75;0;325;6,18;0;0;0;57,65;0;0;0;0
2361;17,29;146,16;0;0;166;3,15;0;600,64;600,64;17,29;0;0;0;0
2362;335,79;940,77;1324,08;912,75;2363;1189,54;1699,33;18510,3;20209,63;335,79;138;0;0;0
2363;55,59;0;0;0;382;7,26;0;0;0;55,59;0;0;0;0
2364;500,8;828,71;1283,08;40;1674;395,87;0;472,8;472,8;500,8;0;0;0;0
2365;84,54;112,05;0;0;443;8,42;0;0;0;84,54;0;0;0;0
2366;10221,45;275,35;67,02;567;475;235,73;6896,51;17040,14;23936,65;10221,45;0;0;0;0
2367;748,14;368,25;4052,58;52,7;4583;1378,74;5584,33;1825,61;7409,94;748,14;0;0;0;0
2368;7173,59;4854,68;14040,26;4845,75;12584;3702,26;23169,66;25541,35;48711,01;7173,59;370;2980;0;0
2369;1005,87;1506,96;15710,48;246,2;6912;2641,96;544,59;2169,97;2714,56;1005,87;405;1223;0;370
2370;4621,36;698,04;3997,88;643,3;6888;1806,63;2320,5;18352,34;20672,84;4621,36;256;0;0;0
2371;598,93;115,51;1853,22;10;2030;1017,33;515,7;0;515,7;598,93;220;0;0;10
2372;54,73;0;233;0;852;459,81;0;0;0;54,73;0;0;0;0
2373;34,4;112,05;35,5;0;836;130,88;0;0;0;34,4;0;0;0;0
2374;5201,62;1770,03;2490,54;792,15;6244;1557,12;17190,63;14137,43;31328,06;5201,62;0;1771;0;0
2375;12532,95;7002,28;29516,65;4294,85;18571,94;3650,8;17435,94;12879,75;30315,69;12532,95;886;2516;0;0
2376;209,64;1462,94;1048,15;816,15;7246,82;659,06;1849,33;310,89;2160,22;209,64;173;0;0;0
2377;7500,03;3857,65;15820,64;2336,68;16109;6181,49;23680,15;42530,07;66210,22;7500,03;1082;3772;0;0
2378;78,75;0;437,88;0;861;70,3;0;0;0;78,75;0;0;0;0
2379;970,19;236,68;2522,66;203,2;3970;2270,18;394,59;3696,5;4091,09;970,19;155;0;0;0
2380;7302,79;1824,75;4941,63;2738,85;8720;1260,94;8220,27;20097,16;28317,43;7302,79;276;747;0;0
2381;1952,92;279,95;185,78;9,9;984;18,7;150;17038,3;17188,3;1952,92;0;0;0;0
2382;410,39;507,6;1402,51;101,05;2191;1070,25;2020,5;2045,31;4065,81;410,39;0;0;0;0
2383;321,43;274,32;732,79;762;2709;841,07;6087,36;2132,08;8219,44;321,43;0;0;0;0
2384;5269,34;45;7154,49;21;3336;913,5;2121;3910,54;6031,54;5269,34;320;755;0;10
2385;4226,66;3398,04;23551,87;2520,33;15107;3586,59;13275,8;14879,29;28155,09;4226,66;332;1291;0;0
2386;104,04;853,94;1388,69;129,75;802;322,58;0;182,93;182,93;104,04;0;0;0;0
2387;178,92;0;759,36;50;702;13,34;0;0;0;178,92;0;0;0;0
2388;124,11;274,98;259,38;372;1502;593,49;1699,33;188,8;1888,13;124,11;97;0;0;0
2389;274,03;340,11;1233,45;30;1767;1046,21;150;0;150;274,03;0;0;0;0
2390;1744,25;612,62;3306,02;604;3815,09;1341,18;6745,39;328,09;7073,48;1744,25;214;0;0;0
2391;118,34;506,7;1117,34;228,88;3475;1274,27;0;1278,37;1278,37;118,34;208;1229;0;0
2392;1209,04;462,44;11882,4;1206,55;2206,51;295,18;1954,73;1392,45;3347,18;1209,04;0;0;0;0
2393;126,06;181,65;564,31;11,6;1694;715,56;0;887,23;887,23;126,06;73;0;0;0
2394;241,74;112,05;144,18;0;504;41,44;244,59;0;244,59;241,74;0;0;0;0
2395;126,23;54;518,64;0;1295;385,18;150;1953,91;2103,91;126,23;0;0;0;0
2396;11,83;0;267,63;0;456;28,46;0;0;0;11,83;0;0;0;0
2397;117,68;174,92;122,1;0;544;150,34;150;960,01;1110,01;117,68;0;0;0;0
2398;2,15;193,65;0;0;53;1,01;0;0;0;2,15;0;0;0;0
2399;999,82;407,71;9575,89;382;3594;1026,92;150;2938,6;3088,6;999,82;133;0;0;0
2400;76,55;373,89;8950,25;0;753;590,31;489,18;0;489,18;76,55;0;0;0;10
2401;100,94;0;3421,12;0;974;147,79;0;159,2;159,2;100,94;0;0;0;0
2402;35,34;103,5;672,28;17,25;762;191,18;0;0;0;35,34;0;0;0;0
2403;34,43;0;122,1;0;329;6,25;0;0;0;34,43;0;0;0;0
2404;1436,32;2642,94;2626,57;1012,75;3442;1021,09;1527,6;598,82;2126,42;1436,32;169;0;0;0
2405;51,07;0;251,89;0;908;314,01;0;0;0;51,07;0;0;0;0
2406;34,38;0;146,13;0;693;109,31;0;1371,82;1371,82;34,38;0;0;0;0
2407;114,34;0;123,66;0;321;12,36;0;261;261;114,34;0;0;0;0
2408;90,6;0;122,1;0;485;9,22;0;0;0;90,6;0;0;0;0
2409;195,85;560,24;672,21;264,78;1501;786,38;75;225;300;195,85;0;0;0;0
2410;4723,68;762,22;3825,19;1881,53;7348;1838,69;14575,35;20192,75;34768,1;4723,68;274;0;0;0
2411;120,1;0;292,47;0;1220;503,06;0;148;148;120,1;0;0;0;0
2412;29,43;0;122,1;0;228;4,33;0;0;0;29,43;0;0;0;0
2413;70,95;0;190,21;0;700;358,8;1699,33;0;1699,33;70,95;0;0;0;0
2414;5368,17;5422,91;11646,92;2880,88;16284,35;3214,62;14681,03;6145,07;20826,1;5368,17;573;1856;0;0
2415;490,75;1584,56;7197,62;993,75;8777;2847,29;2135,8;6119,67;8255,47;490,75;293;0;0;0
2416;8641,26;406,8;4891,22;917,7;2803;1168,21;17874,2;11170,65;29044,85;8641,26;133;0;0;0
2417;3941,65;1748,26;5612,27;3656,23;9058;2999,9;18257,99;18330,84;36588,83;3941,65;508;934;162;0
2418;204,19;1557,01;305,3;259,5;1186;476,91;150;0;150;204,19;0;0;0;0
