#Zweck;Fix;Gemeinde;2;3;4;5;6+
2;1;1;0.6755710;0.5693655;0.4956973;0.4464382;0.3874300
51;1;1;0.8261759;0.7012485;0.5898661;0.5661676;0.4774918
53;1;1;0.7509972;0.6221700;0.5099867;0.4297858;0.3408760
52;1;1;0.5994267;0.4485447;0.4388178;0.4140477;0.2678296
11;1;1;0.8137000;0.7103622;0.6073022;0.5955786;0.4874471
12;1;1;0.6855527;0.5197227;0.4052110;0.3185178;0.2913864
77;1;1;0.2066076;0.1474799;0.0914471;0.0472241;0.0261609
6;1;1;0.4356411;0.3829029;0.2531731;0.2165158;0.1554818
42;1;1;0.8452207;0.7518817;0.6941842;0.5911434;0.6410559
41;1;1;0.7128117;0.5437856;0.4644467;0.4124807;0.3176831
2;1;3;0.5980884;0.4858232;0.4126075;0.3656190;0.3112862
51;1;3;0.6803643;0.5124806;0.3917634;0.3688658;0.2904064
53;1;3;0.6512402;0.5048314;0.3918623;0.3181758;0.2425342
52;1;3;0.5183712;0.3690926;0.3599640;0.3369723;0.2082971
11;1;3;0.6790151;0.5429339;0.4282492;0.4163176;0.3153539
12;1;3;0.5814404;0.4081090;0.3026904;0.2294690;0.2076120
77;1;3;0.1545180;0.1082633;0.0659771;0.0336155;0.0185042
6;1;3;0.3370068;0.2900720;0.1824927;0.1539596;0.1081260
42;1;3;0.7318927;0.6023634;0.5315589;0.4195413;0.4716801
41;1;3;0.5750372;0.3938747;0.3210175;0.2768049;0.2024444
2;1;4;0.5897541;0.4771958;0.4042581;0.3576415;0.3039262
51;1;4;0.7262369;0.5671173;0.4452852;0.4214267;0.3377707
53;1;4;0.5899280;0.4399164;0.3317417;0.2644443;0.1978696
52;1;4;0.4718665;0.3268905;0.3182792;0.2967156;0.1792566
11;1;4;0.6336808;0.4927381;0.3798448;0.3683929;0.2736036
12;1;4;0.5306715;0.3594765;0.2610791;0.1951071;0.1757764
77;1;4;0.1566828;0.1098642;0.0669998;0.0341548;0.0188058
6;1;4;0.3361018;0.2892380;0.1818888;0.1534324;0.1077358
42;1;4;0.7775751;0.6598591;0.5923642;0.4806815;0.5334358
41;1;4;0.5200950;0.3422994;0.2746593;0.2346253;0.1689487
2;0;1;0.7424099;0.6466402;0.5763553;0.5274643;0.4667771
51;0;1;0.8805036;0.7844338;0.6903713;0.6692236;0.5862174
53;0;1;0.7891415;0.6714144;0.5635967;0.4832800;0.3908900
52;0;1;0.6525550;0.5051648;0.4953129;0.4700248;0.3146541
11;0;1;0.8137000;0.7103622;0.6073022;0.5955786;0.4874471
12;0;1;0.6307523;0.4588355;0.3480181;0.2680467;0.2436773
77;0;1;0.3872556;0.2956974;0.1963194;0.1073747;0.0612062
6;0;1;0.5501737;0.4957499;0.3494368;0.3045247;0.2258327
42;0;1;0.8452207;0.7518817;0.6941842;0.5911434;0.6410559
41;0;1;0.7736665;0.6214352;0.5442833;0.4915839;0.3906959
2;0;3;0.6731676;0.5666799;0.4929615;0.4437349;0.3848357
51;0;3;0.7674361;0.6197239;0.4996345;0.4753595;0.3881804
53;0;3;0.6985316;0.5585172;0.4443143;0.3667122;0.2843439
52;0;3;0.5746210;0.4233835;0.4137928;0.3894550;0.2482423
11;0;3;0.6790151;0.5429339;0.4282492;0.4163176;0.3153539
12;0;3;0.5211688;0.3507483;0.2537934;0.1891910;0.1703225
77;0;3;0.3072595;0.2275897;0.1463451;0.0778487;0.0437534
6;0;3;0.4461059;0.3929830;0.2612840;0.2238042;0.1611383
42;0;3;0.7318927;0.6023634;0.5315589;0.4195413;0.4716801
41;0;3;0.6507836;0.4722780;0.3943538;0.3451756;0.2590266
2;0;4;0.6655195;0.5581754;0.4843268;0.4352224;0.3766879
51;0;4;0.8044050;0.6700792;0.5544593;0.5303438;0.4415680
53;0;4;0.6409496;0.4935800;0.3811905;0.3084928;0.2343619
52;0;4;0.5286085;0.3786999;0.3694728;0.3462023;0.2151462
11;0;4;0.6336808;0.4927381;0.3798448;0.3683929;0.2736036
12;0;4;0.4697562;0.3054240;0.2168139;0.1596112;0.1431718
77;0;4;0.3107776;0.2304991;0.1484155;0.0790398;0.0444479
6;0;4;0.4451046;0.3920166;0.2605025;0.2231009;0.1605912
42;0;4;0.7775751;0.6598591;0.5923642;0.4806815;0.5334358
41;0;4;0.5988018;0.4175080;0.3427512;0.2968541;0.2187366
9;1;1;0.6;0.4;0.3;0.3;0.2
9;1;3;0.6;0.4;0.3;0.3;0.2
9;1;4;0.6;0.4;0.3;0.3;0.2
9;0;1;0.6;0.4;0.3;0.3;0.2
9;0;3;0.6;0.4;0.3;0.3;0.2
9;0;4;0.6;0.4;0.3;0.3;0.2
